"pid","hotel","name","commenttitle","comment","rating"
"d1770798","Marina Bay Sands","Effect10","Lovely hotel","The hotel was fantastic and great customer service. Wonderful amenity. The rooftop pool and bars were beautiful and the views were stunning. Hopefully I get to stay there again sometime. Definitely one of the better stays in Singapore.","4"
"d1770798","Marina Bay Sands","kumelys","awesome hotel,  definitely worth visiting once in my life despite high cost.","this was one of the most memorable hotels from many I stayed at in different countries. Infinity pool was awesome experience, access was only for hotel guests, but I fully understand that, it was full already and having outside visitors would not fit and make it very crowded and uncomfortable. My family of 3 persons was granted big family room as a bonus, although we booked cheapest option on lower floors and smaller size I think of 35m2. There were different restaurants on the top level, but we haven't been there, though they looked great and cozy. Only one small issue- there was no really hot water in the room, I called service, guy quickly came and let water run for some time, 5 mins or so and hot water finally arrived there. There are fancy shops around and Singapore tree light shows just outside.¡¦","5"
"d1770798","Marina Bay Sands","Sanav","Majestic Luxury","Marina Bay Sands is an engineering marvel and I spent a good amount of time just admiring its exterior beauty. We stayed in a family room for the first 3 nights (1 double bed and 2 single beds). The room is enormous, with more than adequate space for 4 adults, including your own balcony and 2 bathrooms (only 1 shower though). Unfortunately these rooms are on the lower levels of the hotel, so you do not get much of a view. However, for our final night we booked 2 deluxe rooms facing the harbour and these views were spectacular. There are a multitude of restaurants and bars to choose from, connected access to the mall across the street and a bridge to the famous Gardens by the Bay (take a trip at night for the full experience). The staff are friendly and helpful. The main attraction for me is the rooftop infinity pool, the largest of its kind in the world. The views afforded here are absolutely spectacular and due to its size, it doesn't feel too crowded. Simply a must visit. ¡¦","5"
"d1770798","Marina Bay Sands","Shannon E","Great place to finish off our trip","Spent the last two nigths of our trip here and glad we did! Wonderful Garden Club room with access to the Lounge, excellent service and staff. LOTS of people though, especially in the infinty pool. We went up in the early morning though to avoid crowds. Food was great and room was fantastic and comfortable. Bathroom was huge!","5"
"d1770798","Marina Bay Sands","david","Marina bay wow","We stay four night on transit to Australia  Monies well spent visiting Singapore and what a great hotel to call home for a few days Our room overlooking bay gardens by the bay pull the curtains back you get a memorable view  Room bathroom large and kept spotless  Bed very comfortable clean linen and lots soft towel We ate breakfast in hotel great buffet spoilt for choice  Off course the roof to view a must day and nigh All bars had a great buzz Hotel adjoins the mall, shoppers paradise  The staff all friendly and helpful  Will return","5"
"d1770798","Marina Bay Sands","Gustavo C","Comprehensive New Years Eve Review","My wife and I stayed here for three nights for New Years Eve 2020. The stay was expensive; $700 USD average per night for the cheapest room type. We stayed the other nights of the trip at the Grand Hyatt Singapore so that we wouldn't go broke on our trip. When we left the Hyatt to go check in at the MBS, we figured there would be no chance that our room would be ready. We checked in at 9:00 am and they not only got us a room right then, they also gave us one on a high floor (36) even though we had paid the cheapest rate which was for the bottom 10 floors.  The rooms are nice. Modern fittings and they come with little balconies. The beds are hard but the shower pressure is elite. There is no bad view since you will either see the bay and all the skyscrapers, or you will be on the¡¦","5"
"d1770798","Marina Bay Sands","TINKATJEN","MBS","The reception queue is too long...  stayed with the family in 2 rooms... we had requested since we book (months ago) to have rooms beside each other as the kids would be staying in another room unfortunately was not materialized.","4"
"d1770798","Marina Bay Sands","V. A","Luxe and magnificent harbour suite","We stayed in the Harbour Suite. It was huge and we had an uninterrupted view of the light shows at night. It is a little noisy though. For some reason it isn't as quite as expected.  The hotel itself was very busy. We had an exclusive lift which skipped the first 25 levels or so and free bottles of water which were very welcome considering the amount of people scattered in the lobby.  Despite being very busy, housekeeping did a very thorough job and went above and beyond. She (or he) folded my daughter's used pajamas and laid them on the huge bed. They made sure the room is neat, tidy and clean  I really appreciated coming back to a clean and tidy room. They worked very hard. Floor was squeaky and the cot was always made up.  To be honest, the space and view is well worth the¡¦","5"
"d1770798","Marina Bay Sands","Getaway32496708429","The view is just breath taking","If am going back to Singapore for holidays then definitely its Mariana Bay Sands. The shopping mall close there has everything you need from consumable goods to electronic goods and many more. I saw many great mens outfits. I had no time for exploring further but my first impression, its a great place to be.","5"
"d1770798","Marina Bay Sands","mail62","A Bucket List Hotel","Obviously MBS is expensive but if you can afford it, try to stay for at least one night while you're in Singapore. The view alone is amazing. The room itself was pretty standard although the bathroom was incredible with separate shower, huge bath, double sinks etc. If it is a special occasion, then be sure to tell the staff when you arrive or book. We found a cake and fruit in our room for our anniversary.","5"
"d1770798","Marina Bay Sands","31sherriw","What an amazing sight to see all over Singapore,,","Walked through the mall.   The top is an amazing restaurant.   Gambling on the bottom.   We were so surprised at how large it was on the inside.   Beautiful inside and outside.   A must see when you visit Singapore","5"
"d1770798","Marina Bay Sands","JP903","Dream Honeymoon","Well what can I say this hotel has it all! Absolutely remarkable hotel and a breathtaking view from the HUGE infinity pool at the top. The rooms, the service, the location and the food was excellent! It¡¯s also connected to an enormous shopping mall with all the big name brands. If I were to return to Singapore I would definitely stay here again.","5"
"d1770798","Marina Bay Sands","JoanneInverness","Heaven on Earth","My daughter was desperate to stay at this hotel during our stopover on the way back home from Brisbane as she'd seen it get built on a previous visit.   There's a danger with a hotel of this scale (it is huge) for it to be soulless and impersonal, but we didn't find that to be the case.  From the minute we stepped out of the taxi, the service was faultless (although pool service quite slow), but most importantly friendly and personal.   We were on the 18th floor with a garden view and what a view!   But of course, the main attraction is the rooftop infinity pool and it didn't disappoint.   Make sure you stick around for sunset and beyond - it's truly wonderful.  Getting sunbeds together was a bit tricky first thing as it's so busy, but it seems to be quite a transient clientele,¡¦","5"
"d1770798","Marina Bay Sands","sheftelon","Impressive architecture","Little could be added to what this magnificent building have done to the Singapore sky line. This beautiful hotel divided into three wings is offering from high levels rooms to fantastic suites with breath taking views, to either sides of it, one overlooking the marina and the other overlooking the ocean. the pool on the top is definitely the attraction that gives this hotel it unique character and this is where most people want to spend their free time. surrounded with restaurants, bars and hot tubs the whole area is offering great atmosphere at all times. There are many other attractions like the huge shopping center, casino and more restaurants for fine dining of any kind. So, glamour is everywhere but there are also some points of critics which are not really reducing the¡¦","5"
