"pid","hotel","name","commenttitle","comment","rating"
"d301583","Raffles Hotel Singapore","Christopher C","Fantastic but Expensive","After nearly two years of closure Raffles is back on the map. The whole building revamped into pristine  condition. When in Singapore it is a must to visit this place and see the splendour.  And of course sample the famous Singapore Sling. That been said the service was not as good as it should be. The wait for a menu and then the wait of over 20 minutes for a drink to be served were much too long and the staff did not seem busy. An expensive treat.","4"
"d301583","Raffles Hotel Singapore","GregB052148","Stop for a Sling","When in Singapore you have toat least stop at the Raffles for a Singapore sling. It was first concocted here and is something you can check off the bucket list.  Warning---- it wont be cheap, but you may only be in Singapore once, go for it.","4"
"d301583","Raffles Hotel Singapore","GERinAsia","Great Hotel for a short stay in Singapore","We enjoyed our long weekend thoroughly, the hotel has been tastefully renovated, the staff is superb and the breakfast was a delight. Nothing was too much trouble for our butler Bobby, who made our stay even more enjoyable. Congratulation to such a great hotel.","5"
"d301583","Raffles Hotel Singapore","Deborah K","High tea with some history","This was an outstanding, although expensive, treat and something I've long wanted to do - High Tea at Raffles is not to be missed.  The building is fantastic, the staff are first class as is the High Tea itself.  Myself, my Son and his wife all attended here on New Years Eve for a very special, to us, morning tea.  I've been to many and varied other establishments for High Tea and come away positively starving.  None of us could finish our ""allotted"" assortment of sandwiches, pastries, and deserts, let alone the seemingly endless supply of scones, clotted cream, jam and tea.  This is an experience not to be missed.","5"
"d301583","Raffles Hotel Singapore","jennifer D","High Tea","Absolutely worth every penny - a treat on our wedding anniversary and it was perfect   It wasn¡¯t cheap but not only high tea but you can select lunch and dinner too   Loved it   Great selection and tasty - often these foods are mass produced and have no flavour - I could have stayed all day","5"
"d301583","Raffles Hotel Singapore","mmj17","Not quite a 5","We stayed here , for 3 nights, and , whether it was because it had recently been reopened , but the service in some areas, was to be questioned, waiters forgetting drinks orders, pool attendants a bit vacant when asking for things, but apart from a  few very small things theres no doubting this is a classic place. Rooms are beautiful, modern comfy and luxurious.Highly expensive but once in a lifetime stay.","4"
"d301583","Raffles Hotel Singapore","Perry B","The most amazing experience!","We had the most fabulous time here possible! It was a highly special stay from whoa to go! It started when we were met at Terminal One of Changi Airport by our fabulous chauffeur, Noor, who transported us to the Hotel in style and who was such a positive person, even assisting my wife with a toilet break and photo opportunities. The lobby was beautifully decorated for Christmas and everything sparkled festively. It felt like there was a Reception Committee at the Hotel once we arrived too. Yu Jun proved to be an excellent Butler and even arranged for a video of the choristers to be emailed when our own video had gotten ruined. We loved the personalised suite, the Joseph Conrad Suite at # 251 on the Balcony wing. it was the ultimate in refined and tastefully recently restored¡¦","5"
"d301583","Raffles Hotel Singapore","mark433","Mark Blake","My wife and I treated ourselves to afternoon tea with pink champagne, at the hotel on New Years Day 2020, that is served at private tables in the main foyer. Beautiful surroundings as part of a recent refurbishment project over a 7 month closure. The meal exceeded our expectations in all respects. We were offered additional scones, that we accepted although heaven knows how we fitted them in!!","5"
"d301583","Raffles Hotel Singapore","Donnagoeswest","Best hotel I have ever stayed in! Luxury","What can I say.. this is the best hotel that I have ever stayed in!. From the welcome from staff on arrival to my personal attendant Kenny who even got me coconut ice cream at 1am when I couldnt sleep!. The room is immaculate, and airy with a confirtable bed dressing area and onsuite, desk and chairs. Fruit and papers were delivered and the room was cleaned every morning when I returned to the room, I could never figure out how they knew I has gone and come back, I found out they put a match stick by the door! so clever. This iconic hotel is worth staying in and you have to go to the monkey bar where you can have a singapore sling and throw monkey nuts on the floor. Singapore is beautiful and full of palm trees so clean. Although a short work trip I would love to come back here.","5"
"d301583","Raffles Hotel Singapore","Andy S","Old School Charm.","A must do trip when in Singapore!. Recently refurbed,we came here for the famous Sling. Popped in the gift shop first on the ground floor then went up to the first floor and joined the queue for the Long Bar. After around 20/25 mins we finally managed to get in after a few people had left. First impressions were that it is not that big inside,and the floor was covered in nut kernals,well funny. At $35 each,we thought stuff it,only here once,so we had 2!. Bloody lovely. They do other cocktails and beer as well.","5"
"d301583","Raffles Hotel Singapore","Thomas N.R. Johnson","Not just Singapore Sling - an old British colonial hotel that tells the story of another time","Clean, neat, stylish, exciting, well-kept, historical, legendary, colonial, luxurious, British, old, atmospheric, respectable, classic, qualitative, genuine, notorious, quiet, peaceful, service-minded, qualitative and ... an ever-present sense of Agatha Christie atmosphere ....! These are the feelings I keep in mind after the memorable visit to the Raffles Hotel in Singapore! My goal was of course The Long Bar where you traditionally order and drink a real Singapore Sling - memorable, not least for the peanut shells on the floor!","4"
"d301583","Raffles Hotel Singapore","Deepankar K","Exceptional","We stayed here 5 days in December. I¡¯ve stayed in any fine hotels but this is truly exceptional. Forget the aesthetics, the digital controls and the mystique - I¡¯ve never come across any hotel where the staff were so uniformly wonderful.    Thank you, Team Raffles for a really wonderful stay.","5"
"d301583","Raffles Hotel Singapore","SWATTWorld","Fun visiting the famous Hotel","It¡¯s worth a visit to walk through The Raffles Hotel. Of course we wanted to try the original Singapore Sling. There was a line up to get into the bar on Sunday so we went back the next day at 3 pm and got in right away. They also serve at the pool bar if you want to avoid lines. Heads up- the Sling is $33 US with free peanuts. Still a fun visit.","4"
"d301583","Raffles Hotel Singapore","matthewrafat","Afternoon High Tea is an Excellent Experience","If you visit Singapore, you'll of course go to a hawker centre and walk down Orchard Road. It used to be that you'd also order a Singapore Sling at the Raffles Hotel bar, but if you're into more elegant experiences, I suggest reserving afternoon high tea at the Grand Lobby cafe. It is expensive but worth it. (January 2020)","5"
"d301583","Raffles Hotel Singapore","MargieDee","Long Bar - long wait!","It might be a long wait but worth it. Singapore sling is a bit pricey and really not that tasty (my opinion) but the atmosphere and history is definitely worth it.  Shelling of peanuts and throwing on the floor is something everyone does & is encouraged. So if you¡¯re willing to wait - enjoy the peanuts <U+0001F95C> & drink !!","5"
"d301583","Raffles Hotel Singapore","Lucinda P","Amazing hotel and first class staff","I went to Raffles to have a Singapore sling and was not disappointed. The long bar is just wonderful and mesmerising. You can imagine in years before how it used to run. I ordered a 1915 and a Singapore sling. Both where excellent. I then went downstairs to the garden restaurant and received just wonderful service and even got told some history which bought it all to life. I would recommend this hotel in a heartbeat. The staff where just amazing, the cocktails where superb and the food in the garden restaurant was just divine. Raffles you are simply a cut above the rest x","5"
"d301583","Raffles Hotel Singapore","Kaulder","Amazing luxury experience","The refurbishment has taken Raffles to another level of luxury. Staff and service were beyond even our high expectations. The food was exceptional and the drinks in the long bar was an experience we will remember for ever.","5"
"d301583","Raffles Hotel Singapore","Charles_Phua","Great history lesson during a staycation","Raffles hotel is the oldest hotel in singapore and has a rich history behind scene.  Would like to take this opportunity to thank Mr. Roslee who brought us around the hotel and given us a great tour.   Hotel comes with a nice gym and roof top Swimming pool.   Room is fantastic. Will be back to try out other rooms within the same property.","5"
"d301583","Raffles Hotel Singapore","dansParis","Millions spent on refurb but the very basic missing","Just spent 4 nights in a suite where hundreds of thousands were obviously  spent on refurbishing and yes it¡¯s up to the standards of the hotel category, but I just couldn¡¯t sleep during 4 consecutive nights because of the suite upstairs where the slightest footstep could be heard and man, that guest had a lot to do in his room. I just CANNOT fathom how it is possible to spend so much money and so much time in renovating a top-notch hotel and NO COMPETENT or smart guy has brought the idea that not hearing every step from neighboring rooms could be kind of a good idea. Travelers like us do not particularly need to be shown how a bathroom works, but do need to get the very absolute basics when paying for a room, that is to get some sleep, which the Raffles DOES NOT provide, UNLESS:¡¦","2"
"d301583","Raffles Hotel Singapore","Jacob M","Super attentive service and great stay","My wife and I stayed for 1 night late December and had a lovely stay. The signature Raffles Doorman was super welcoming and friendly upon checkin, and again as we were departing. What a unique and special touch. The renovated rooms are VERY nice and comfortable. We were especially pleased with the room-attendant service. Grace came to welcome us shortly after check in and helped us modify a dinner reservation that we were having difficulty with, she brought fresh milk for coffee, and she noticed our Rimowa suitcases which could be cleaned by the onsite Rimowa store. She took the suitcases and they were back within a couple of hours, freshly cleaned and wheels oiled. All in all, a great stay, next time will plan to stay longer!","5"
"d301583","Raffles Hotel Singapore","David53","Great Atmosphere and 5 star hospitality !!","What could I say ? Speechless! If u have extra cash please try out the vintage sling which cost $188 which I had... U don¡¯t feel rush even the bar was crowded. The cocktail was amazing.   The plus was the hospitality. I was welcomed by JOSHUA the manager and he recommended me the Vintage Sling and Tiger Beer half yard.Giving me option if I would prefer a bar seat or a table even u are single diners.What a busy the place it was,I got to respect this guy. He well managed the bar from guest arrival to departure and consistently checking each one us and I¡¯m telling u, we really enjoyed not because of the money but is because of the hospitality provided by Longbar manager JOSHUA and his team.","5"
"d301583","Raffles Hotel Singapore","SuffolkLucchese","No quite right, yet","Stayed four nights in Dec. An old hand having stayed many previously times we were curious to see how the refurb had panned out. There is no doubt this is a wonderful hotel, on the whole with service to match. However I am amazed at the small mistakes made by such a large hotel group. The pool area, stupidly small sized umbrellas that could just about keep off the sun if you stand directly underneath. The steps to the pool too sharp, and were closed off after our first day pending modification, things like this the hotel know. The Ah Tengs Bakery at present ( I can't believe it will not change when the rest of the ground floor outlets are finished) selling three types of pastry only, thats it, nothing else, the used to be a good little coffee shop, not an afterthought inside the¡¦","4"
