"pid","hotel","name","commenttitle","comment","rating"
"d4727829","The Pod Boutique Capsule Hotel","Jazz","Nice location but if you sensitive with noise this place is going to be your nightmare","Stayed here for the second time. This time I booked suite because I prefer to pay double price for privacy and wanted to have a full sleep as you never known what kind of bunkmate you would have.  But the whole 5 night turned my trip to be the worse trip of the year, I could not sleep peacefully at all. The suite close to the bathroom you will hear the door slam for the entire night and getting worse from 6AM. - 10AM. plus the suite itself has separated door and there is 5 suite together each one has own door but the wall is not soundproof at all (you hear even the next suit mate snoring) I heard the doors slam 10-20 times each minute!!!  It is so horrible I had few hours sleep each night and got so exhausted during the days and couldn't enjoy the trip at all. This place is not for me and never again. °¶","3"
"d4727829","The Pod Boutique Capsule Hotel","Judy S","Good and bsf","Excellent staff.  Reasonably clean considering all the people crammed in. Reasonable breakfast.  Needs new towels. Not for the claustrophobic.  I've  never been asked before if I was capable of hearing a fire alarm.  Bottom line - fire trap","3"
"d4727829","The Pod Boutique Capsule Hotel","Chrisnox N","The best hostel in Singapore","I have stayed in various hostels in Singapore and this one is the best! It is very clean. It looks modern industrial and stylish. It looks and smells new. The beds are really nice. Rooms are spacious. Strong Wifi connection everywhere. The toilet and shower area are clean and stylish. Breakfast is the best compared to Singapore hostels. Service is top notch. Price is worth it. In front of a bus stop. They have an elevator. Complimentary use of washer and dryer. I will definitely stay here again. Highly recommended.","5"
"d4727829","The Pod Boutique Capsule Hotel","Janice","Great budget hotel in singapore","I stayed 5 nights at The Pod, stayed in their Pod suite and absolutely loved it. Staying in the Pod Suite meant that i had an entire room to myself. Although this was a small room, it was very functional room (comes with a small work station) that gave a lot of privacy. The room itself felt very secure, with two sets of doors (both requiring key card entry), with the building itself also requiring keycard entry. this is something that was really important to me as a solo female traveler.   Hotel also comes with a bunch of amenities such as free towels, free brekky, water filling station, and shampoo, and is situated in a very convenient location, within walking distance to the MRT station, artsy Haji lane and a bunch a really good eats.   Staff here were also very friendly and hospitable, thanks for an awesome stay!°¶","5"
"d4727829","The Pod Boutique Capsule Hotel","Ludovicov","Highly recommended","We loved our stay at the Pod Hostel. We spent here 4 nights, one night in the queen suite and the other in the queen bed mixed dorm. The pod guarantees all the privacy you need, so much o that it feels like being in your own private bedroom.  The bed is very comfy and spacious and had everything you need. All the facilities were super clean. The bathroom are self contained which is a nice plus when staying in a hostel! They also provide lots of useful amenities, such as free breakfast, free towels, soaps and shampoo, free drinkable water to refill your bottle. There is also the possibility to do your laundry for free, which is a huge bonus point! The location is perfect to explore Singapore, just steps from Haji Lane.  The staff was very helpful and friendly, even when we arrived at 2am because of a flight delay.  They offer a 24/7 check in which is a nice touch. Our experience at the Pod Hostel was beyond our expectations and we will highly recommend it to anyone coming to Singapore.°¶","5"
"d4727829","The Pod Boutique Capsule Hotel","Lily Kay Ellis","Lovely Boutique Hostel","I have nothing to fault with my stay at The Pod Hostel! My friend and I stayed on a women°Øs only floor, the beds were extremely comfortable and clean and we felt very safe leaving our possessions there. They offer a lovely buffet breakfast and is in an ideal location in walking distance of Little India and just a short metro ride to any other attractions in Singapore. I would highly recommend<U+0001F601>","5"
"d4727829","The Pod Boutique Capsule Hotel","sangeeta","Amazing stay highly recommend","I booked the Pod hotel for one night and it was a very good experience. The checkin staff were very polite and they upgraded by pod to a queen pod. Under the bed there is locker where you can store you luggage. I stayed in the all women pod on a seperate floor and you had to use the access card to enter the building, floor and room. There had a well set up shared dressing area with iron board and the showers/loos were clean. Please note in the mornings it can get a bit crowded and you might have to wait your turn. Breakfast was included and it was a good spread.  Overall I highly recommend this place for solo female travellers on a budget","5"
"d4727829","The Pod Boutique Capsule Hotel","D4rkL1ght96","Great for a short stay!","I stayed here with my Mum in October for 3 nights and it definitely exceeded our expectations. It doesn't look like much from the outside but is a great little modern hotel on the inside. Before you get to your room you need to remove your shoes and there are lockers to keep them in. You'll also see the bathrooms equipped with both a toilet and shower before entering your room. In your room is 8-10 pods, half of which are on the upper part accessible by a ladder. Our pod was a double bed pod on the bottom. Beneath each lot of pods are also storage for bags and suitcases. The storage might look small but goes right back is definitely sufficient. The storage is also locked with your room card. Inside the pod there's lights and charging points and a screen you can pull down for°¶","5"
"d4727829","The Pod Boutique Capsule Hotel","Namcy C","Lovely stay in SIngapore","Check in on 3rd floor, and accommodation is only level 4-5. (floor 5 provide laundry). What I love about this place is the decoration (cozy&modern) and a small foldable table attached to bed which you can enjoy series or even work. If you love a place to hangout at night, it's perfect with outdoor dining. The staff are nice and explain everything once you first arrive. Cleanliness is very good in bedroom and bathroon. Also the breakfast is lovely with toast, cereal, sausage, fried noodle, mushroom with cheese. The dining area is friendly environment. So this place makes you feel like you are staying at home. Anyway, one thing can be approved like carpet in the bedroom (but it's no big deal) Overall, i enjoy staying here.","4"
"d4727829","The Pod Boutique Capsule Hotel","Marshella","nice to stay","It was nice to place to stay and the place is super clean and very neat.  The staff there is very helpful especially Eva, they will assist you to the room and show us how to use the locker and wheres the laundry room.  The breakfast there was really nice and good too. Simply i like everything about this pod.","5"
