"pid","hotel","name","commenttitle","comment","rating"
"d310344","YMCA One Orchard","rommelbelen","Minimal Standard","Minimal Standard of Service in all aspect.  You can be friendly be to your guest if you wanted to.  Staff in the Level 4 Cafe are not hospitable.  They will not try to assist you if all seats were already taken.","2"
"d310344","YMCA One Orchard","vanshaj","Great stay","I had checked in in Morning at 4 and the staff was very polite. Bf is very good. Clean room, good wash room and the best part is the location. I requested for a late check out and it was done on email before coming. Must visit again for the next time.","5"
"d310344","YMCA One Orchard","thejakawijeweera","YMCA","Convenient, affordable and located to tra easily y to o any destination. Friendly staff, clean rooms, good breakfast, nothing fancy but with all the standard needs. Feels like a welcoming home, open 24 hours. Nice rooftop pool.","5"
"d310344","YMCA One Orchard","Jacques","YMCA Singapore","Visited the YMCA in Singapore. Great location and clean rooms. Near shopping centres and easy to get to from the MRT. Staff - friendly and very helpful. Big, clean swimmingpool with view over the area. Rooms fitted with decent aircon for hot weather","5"
"d310344","YMCA One Orchard","davidm70682019","Excellent value for money.","We had a room with two single beds and ensuite bathroom for 3 nights, don't know if they do double beds, but we are very happy with that as usually sleep better anyway. We were on the 7th floor and had a view from the window. It was very quiet and didn't hear a thing at night. Definitely stay again if in Singapore","5"
"d310344","YMCA One Orchard","Aileen Flores","Good stay","The facility is clean. Food for breakfast tastes good. The front desk staff, Ms. Serene Lee is very accommodating. The location is nice and accessible to all tourist destinations. Will be back again soon.<U+263A><U+FE0F>","5"
"d310344","YMCA One Orchard","ludor","Great location","The hotel is located right next to the National Museum, close to public transport and at walking distance from Marina bay, Little India, China Town and other touristic attractions. The room are small, with basic facilities, and clean. The breakfast is OK, with different options available.","4"
"d310344","YMCA One Orchard","Agata","Sleeping base for budget travelers","From from Changi International Airport you will reach the hotel by bus No. 36A. The stop is next to the hotel entrance. Hotel is in a great location near Fort Canning and close to 2 MRT stations, and just a walking distance from Clarke Quay and Marina Bay Area .The rooms are small with basic facilities, clean. Every day they complement bathroom cosmetics, bottled water and coffee. Also they provide complimentary breakfast, simple, but gives you energy at the start. The reception staff are friendly. We recommend to everyone who looking for accommodation in a convenient place to explore the city.We enjoyed.","4"
"d310344","YMCA One Orchard","neldacordero","comfortable and safe, awesome location","this is our third time to stay in your hotel and we were satisfied and comfortable, thanks a lot. we will continue patronizing your hotel in the future.  the second day of housekeeping was not as good, no water and coffee, i complained to him about the hair dryer but it was not changed at all. please double check because it might harm the next user.","4"
"d310344","YMCA One Orchard","johnklandon","Good stay at convenient location","Already went to Trip Advisor. Please don't confuse me by asking for things twice over! We enjoyed the stay. Main plus factor was the location and knowing that others were being helped by YMCA activities. Main minus factor was perhaps room cleaning.","4"
